"id","codi_estacio","codi_variable","data_lectura","data_extrem","valor_lectura","codi_estat","codi_base"
"X4320201090000","X4","32","2009-01-02T00:00:00.000",,"12.2","V","HO"
"X4330201090000","X4","33","2009-01-02T00:00:00.000",,"75","V","HO"
"X4010201090000","X4","1","2009-01-02T00:00:00.000","2009-01-02T00:00:00.000","1015","V","HO"
"X4360201090000","X4","36","2009-01-02T00:00:00.000",,"0","V","HO"
"X4400201090000","X4","40","2009-01-02T00:00:00.000","2009-01-02T00:00:00.000","12.3","V","HO"
"X4350201090000","X4","35","2009-01-02T00:00:00.000",,"0","V","HO"
"X4440201090000","X4","44","2009-01-02T00:00:00.000","2009-01-02T00:58:00.000","75","V","HO"
"X4500201090000","X4","50","2009-01-02T00:00:00.000","2009-01-02T00:33:00.000","3.6","V","HO"
"X4510201090000","X4","51","2009-01-02T00:00:00.000",,"8","V","HO"
"X4340201090000","X4","34","2009-01-02T00:00:00.000",,"1015","V","HO"
"X4420201090000","X4","42","2009-01-02T00:00:00.000","2009-01-02T00:44:00.000","12.2","V","HO"
"X4320201090100","X4","32","2009-01-02T01:00:00.000",,"12.2","V","HO"
"X4350201090100","X4","35","2009-01-02T01:00:00.000",,"0","V","HO"
"X4360201090100","X4","36","2009-01-02T01:00:00.000",,"0","V","HO"
"X4400201090100","X4","40","2009-01-02T01:00:00.000","2009-01-02T01:13:00.000","12.3","V","HO"
"X4340201090100","X4","34","2009-01-02T01:00:00.000",,"1015","V","HO"
"X4440201090100","X4","44","2009-01-02T01:00:00.000","2009-01-02T01:55:00.000","72","V","HO"
"X4500201090100","X4","50","2009-01-02T01:00:00.000","2009-01-02T01:24:00.000","3.4","V","HO"
"X4510201090100","X4","51","2009-01-02T01:00:00.000",,"3","V","HO"
"X4330201090100","X4","33","2009-01-02T01:00:00.000",,"73","V","HO"
"X4420201090100","X4","42","2009-01-02T01:00:00.000","2009-01-02T01:57:00.000","12.2","V","HO"
"X4320201090200","X4","32","2009-01-02T02:00:00.000",,"12.1","V","HO"
"X4330201090200","X4","33","2009-01-02T02:00:00.000",,"72","V","HO"
"X4340201090200","X4","34","2009-01-02T02:00:00.000",,"1015","V","HO"
"X4350201090200","X4","35","2009-01-02T02:00:00.000",,"0","V","HO"
"X4510201090200","X4","51","2009-01-02T02:00:00.000",,"358","V","HO"
"X4400201090200","X4","40","2009-01-02T02:00:00.000","2009-01-02T02:00:00.000","12.2","V","HO"
"X4420201090200","X4","42","2009-01-02T02:00:00.000","2009-01-02T02:37:00.000","12.1","V","HO"
"X4440201090200","X4","44","2009-01-02T02:00:00.000","2009-01-02T02:21:00.000","72","V","HO"
"X4500201090200","X4","50","2009-01-02T02:00:00.000","2009-01-02T02:00:00.000","3.2","V","HO"
"X4360201090200","X4","36","2009-01-02T02:00:00.000",,"0","V","HO"
"X4320201090300","X4","32","2009-01-02T03:00:00.000",,"12.1","V","HO"
"X4330201090300","X4","33","2009-01-02T03:00:00.000",,"73","V","HO"
"X4340201090300","X4","34","2009-01-02T03:00:00.000",,"1014","V","HO"
"X4350201090300","X4","35","2009-01-02T03:00:00.000",,"0","V","HO"
"X4510201090300","X4","51","2009-01-02T03:00:00.000",,"353","V","HO"
"X4400201090300","X4","40","2009-01-02T03:00:00.000","2009-01-02T03:00:00.000","12.1","V","HO"
"X4420201090300","X4","42","2009-01-02T03:00:00.000","2009-01-02T03:51:00.000","12.1","V","HO"
"X4440201090300","X4","44","2009-01-02T03:00:00.000","2009-01-02T03:00:00.000","72","V","HO"
"X4500201090300","X4","50","2009-01-02T03:00:00.000","2009-01-02T03:24:00.000","2.1","V","HO"
"X4360201090300","X4","36","2009-01-02T03:00:00.000",,"0","V","HO"
"X4320201090400","X4","32","2009-01-02T04:00:00.000",,"12","V","HO"
"X4330201090400","X4","33","2009-01-02T04:00:00.000",,"74","V","HO"
"X4340201090400","X4","34","2009-01-02T04:00:00.000",,"1014","V","HO"
"X4350201090400","X4","35","2009-01-02T04:00:00.000",,"0","V","HO"
